source,target,weight
Acestrorhyncus lacustris,Astyanax altiparanae,0.2
Acestrorhyncus lacustris,Auchenipterus nuchalis,0.1
Acestrorhyncus lacustris,Cyphocharax modestus,0.1
Acestrorhyncus lacustris,Iheringichthys labrosus,0.2
Acestrorhyncus lacustris,Other detritus feeders,0.1
Acestrorhyncus lacustris,Other insectivores,0.1
Acestrorhyncus lacustris,Other omnivores,0.1
Acestrorhyncus lacustris,Schizodon borellii,0.1
Astyanax altiparanae,Aquatic macrophytes,0.2
Astyanax altiparanae,Detritus,0.1
Astyanax altiparanae,Insects,0.3
Astyanax altiparanae,Leporinus obtusidens,0.1
Astyanax altiparanae,Other omnivores,0.1
Astyanax altiparanae,Phytoplankton,0.1
Astyanax altiparanae,Zooplankton,0.1
Auchenipterus nuchalis,Insects,0.7
Auchenipterus nuchalis,Other benthos feeders,0.1
Auchenipterus nuchalis,Zooplankton,0.2
Benthos,Detritus,0.5
Benthos,Periphyton,0.5
Brycon orbignyanus,Aquatic macrophytes,0.3
Brycon orbignyanus,Astyanax altiparanae,0.1
Brycon orbignyanus,Insects,0.55
Brycon orbignyanus,Other insectivores,0.05
Cyphocharax modestus,Benthos,0.1
Cyphocharax modestus,Detritus,0.55
Cyphocharax modestus,Phytoplankton,0.35
Hemisorubin platyrhynchos,Astyanax altiparanae,0.15
Hemisorubin platyrhynchos,Brycon orbignyanus,0.1
Hemisorubin platyrhynchos,Other detritus feeders,0.1
Hemisorubin platyrhynchos,Other insectivores,0.1
Hemisorubin platyrhynchos,Pimelodus maculatus,0.25
Hemisorubin platyrhynchos,Serrasalmus marginatus,0.1
Hemisorubin platyrhynchos,Steindachnerina insculpta,0.2
Hoplias malabaricus,Acestrorhyncus lacustris,0.1
Hoplias malabaricus,Hoplias malabaricus,0.2
Hoplias malabaricus,Leporinus obtusidens,0.2
Hoplias malabaricus,Other insectivores,0.1
Hoplias malabaricus,Prochilodus lineatus,0.2
Hoplias malabaricus,Pterodoras granulosus,0.2
Hoplosternum littorale,Aquatic macrophytes,0.1
Hoplosternum littorale,Benthos,0.2
Hoplosternum littorale,Detritus,0.3
Hoplosternum littorale,Insects,0.2
Hoplosternum littorale,Zooplankton,0.2
Hypophthalmus edentatus,Phytoplankton,0.3
Hypophthalmus edentatus,Zooplankton,0.7
Hypostomus sp,Detritus,0.8
Hypostomus sp,Phytoplankton,0.2
Iheringichthys labrosus,Benthos,0.35
